Country,Year,food_CPI,temp,gov,FertilizerValue,production_indices,ER,GDP,FDI
Australia,2000,63.54398275,0.085,NA,76.19,114.13,1.724826667,41994.25374,27634.07497
Australia,2001,67.54750992,0.281,0.38,80.01,112,1.9334425,43143.29524,16609.77343
Australia,2002,70.23788017,0.664,0.5,74.91,111.99,1.8405625,43956.72187,27951.00787
Australia,2003,72.75209517,0.77,0.48,73.39,90.11,1.541914167,45294.60779,10092.66116
Australia,2004,74.55368242,0.649,0.48,74.38,107.54,1.3597525,46193.1704,53568.73486
Australia,2005,76.20313567,1.12,0.42,65.96,104.99,1.309473333,46885.48115,-35056.03988
Australia,2006,81.84010192,0.629,0.64,67,107.15,1.327973441,47952.66347,31492.29061
Australia,2007,84.234211,0.842,0.6,69.63,87.63,1.1950725,48804.85721,42722.11329
Australia,2008,87.8533995,0.541,0.7,61.54,89.2,1.192178333,48752.47288,45921.04097
Australia,2009,91.40052442,0.949,0.54,48.82,94.43,1.28218881,48887.67999,33198.60769
Australia,2010,92.77773808,0.605,0.5,61.35,92.77,1.090159486,49250.75194,30663.59999
Australia,2011,97.25368125,0.14,0.45,54.52,98.37,0.969463201,50407.14206,42899.0734
Australia,2012,95.84443983,0.239,0.4,55.67,103.36,0.965801031,50873.82492,43274.04564
Australia,2013,96.5490605,1.429,0.36,58.74,101.89,1.035843097,51336.36505,43611.39552
Australia,2014,98.92715567,1.124,0.3,64.54,103.28,1.109363293,51666.83228,48441.1647
Australia,2015,99.96807267,1.02,0.27,64.14,100.41,1.331090262,52321.00354,29580.2688
Australia,2016,100.6646864,1.105,0.25,72.25,96.31,1.345213976,52703.44083,47192.57458
Australia,2017,101.5534693,1.072,0.26,72.38,105.44,1.304758077,53364.81165,42806.87531
Australia,2018,102.3942103,1.059,0.3,69.43,95.79,1.338412146,53679.81051,62184.57151
Australia,2019,104.748284,1.36,0.32,68.06,86.14,1.438506544,52702.74993,37328.24649
Australia,2020,108.1833104,1.353,0.25,83.99,78.51,1.453085118,53159.80638,13442.97722
Australia,2021,109.4644391,0.551,0.22,97.37,98.27,1.33122426,54892.35507,19365.78511
Australia,2022,116.5907174,0.678,0.25,86.6,104.45,1.441664459,55994.73976,52281.00322
Australia,2023,124.2214402,0.877,0.35,NA,113.87,1.505191066,56325.32634,24150.51929
Australia,2024,128.1128684,1.446,NA,NA,NA,NA,NA,NA
Brazil,2000,31.64372583,0.533,NA,114.33,66.08,1.829423122,6745.848219,54078.79459
Brazil,2001,33.76491917,0.795,0.38,117.12,68.46,2.349631709,6749.871289,47819.12012
Brazil,2002,37.04002233,1.071,0.33,129.24,72.02,2.920363018,6868.690086,41624.93946
Brazil,2003,44.58024475,0.964,0.3,147.3,76.02,3.077475118,6865.169649,20932.92705
Brazil,2004,46.36618392,0.82,0.32,178.79,79.23,2.92511945,7178.346435,36791.53271
Brazil,2005,47.79357058,1.157,0.42,134.79,78.76,2.434390036,7325.903304,23090.59387
Brazil,2006,47.80317567,0.836,0.41,142.13,81.67,2.175326667,7534.541136,24175.94788
Brazil,2007,51.04458425,0.989,0.43,181.09,86.32,1.947058333,7909.823815,37355.28873
Brazil,2008,57.70600992,0.73,0.35,167.96,90.79,1.833766667,8231.097403,42136.4116
Brazil,2009,61.055031,0.966,0.4,116.86,88.46,1.999428173,8142.759436,24655.44941
Brazil,2010,64.77700342,1.133,0.26,160.81,92.65,1.759226711,8673.897386,41318.90994
Brazil,2011,70.50730175,0.806,0.23,201.06,96.21,1.672828755,8935.276286,48216.70565
Brazil,2012,76.23897217,1.077,0.26,185.6,94.43,1.953068611,9025.312958,55185.26518
Brazil,2013,84.74411908,0.996,0.25,215.87,99.09,2.156089151,9216.131219,60519.79531
Brazil,2014,91.11484967,1.217,0.26,233.15,99.93,2.352951963,9183.45867,65836.61162
Brazil,2015,100.0393948,1.601,0.22,193.85,101.71,3.326904383,8783.214413,72370.09491
Brazil,2016,112.5307243,1.545,0.21,199.19,98.36,3.491313422,8426.842251,67906.59143
Brazil,2017,113.5273967,1.441,0.2,230.14,105.07,3.191389446,8470.939629,50359.96881
Brazil,2018,114.5154415,1.201,0.2,245.58,105.22,3.653825361,8553.864918,57987.56365
Brazil,2019,120.0663799,1.589,0.2,247.62,106.83,3.927341871,8592.210218,46831.52476
Brazil,2020,130.9306976,1.499,0.12,306.01,108.95,5.155178788,8255.567064,38486.81995
Brazil,2021,147.1418842,1.223,0.11,322.32,108.16,5.39440079,8621.730205,33084.97941
Brazil,2022,164.8263249,1.03,0.15,301.84,109.76,5.163970291,8831.126992,57099.39994
Brazil,2023,171.4910438,1.689,0.12,NA,120.38,4.994379763,8866.354949,60304.94469
Brazil,2024,178.1143892,2.081,NA,NA,NA,NA,NA,NA
Canada,2000,65.88730983,1.315,NA,55.26,90.85,1.48511,37917.21278,104341.8581
Canada,2001,69.080451,1.445,NA,56.04,81.35,1.548760833,38198.2313,44330.41381
Canada,2002,70.82753025,0.556,NA,60.18,76.19,1.569318333,38949.50818,35534.95008
Canada,2003,71.84862692,1.268,NA,61.89,85.41,1.401051667,39278.68365,10376.26782
Canada,2004,73.1235225,0.503,NA,57.61,92,1.301019167,40120.42746,-554.976172
Canada,2005,74.79977417,1.303,NA,65.47,93.47,1.211763333,41014.92728,28936.51909
Canada,2006,76.49963475,2.369,NA,50.1,89.57,1.134363333,41686.55274,61976.0223
Canada,2007,78.51231708,1.351,NA,72.87,87.27,1.074099167,42122.17553,110092.4381
Canada,2008,81.59921708,0.876,0.91,67.96,96.12,1.06704,42089.14598,55417.11911
Canada,2009,86.0672535,0.558,0.83,65.93,92.8,1.143100557,40401.09598,22412.45262
Canada,2010,86.88177025,2.934,0.87,73.48,90.49,1.030162783,41196.34423,24570.46905
